title,price_mln_MNT,flooring_material,number_of_balcony,year_of_commissioning,garage,window_type,number_of_storeys,door_type,area_sq_m,apartment_storey,leasing,district,number_of_windows,location,construction_progress
Нисэх буянт ухаа 2т 3 өрөө байр,168.0,Паркет,1.0,2017.0,Байхгүй,Вакум,9.0,Бүргэд,68.59,4.0,Лизинггүй,Хан-Уул,3.0,Нисэх,Ашиглалтад орсон
Бзд кино үйлдвэрийн хойно уб их сургуулийн чанх ард талд 2 өрөө,125.0,Паркет,1.0,2017.0,Байхгүй,Вакум,5.0,Бүргэд,45.05,9.0,Лизинггүй,Баянзүрх,2.0,Зүүн 4 зам,Ашиглалтад орсон
Кино үйлдвэрт 80м3 гал тогоо тусдаа 3өрөө,190.0,Паркет,2.0,1990.0,Байхгүй,Вакум,9.0,Бүргэд,80.0,2.0,Лизинггүй,Баянзүрх,4.0,15-р хороолол,Ашиглалтад орсон
"Ботаник центрт 200 мкв, 100мкв террастай пент хаус",2.3,Паркет,3.0,2021.0,Байгаа,Вакум,10.0,Бүргэд,200.0,10.0,Банкны лизингтэй,Баянзүрх,8.0,Бусад,
Нарны хороололд 106 мкв 3 өрөө,375.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,105.65,7.0,Банкны лизингтэй,Баянгол,4.0,Нарны хороолол,Ашиглалтад орсон
Гандигийн сургуулийн зүүн талд 57мкв 2 өрөө,153.9,Паркет,2.0,2015.0,Байхгүй,Вакум,12.0,Бүргэд,57.0,12.0,Лизинггүй,Сүхбаатар,4.0,Дөлгөөн нуур,Ашиглалтад орсон
3-р хороололд гал тогоо тусдаа 3 өрөө,188.0,Паркет,2.0,1980.0,Байхгүй,Вакум,5.0,Бүргэд,100.0,3.0,Лизинггүй,Баянгол,5.0,"3, 4 хороолол",Ашиглалтад орсон
Дөлгөөн нуурт 50 мкв 2 өрөө,138.5,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,50.0,15.0,Лизинггүй,Сүхбаатар,3.0,Дөлгөөн нуур,Ашиглалтад ороогүй
Gerlug vista 78.03 мкв 3 өрөө,405.76,Паркет,1.0,2023.0,Байхгүй,Вакум,23.0,Бүргэд,78.03,2.0,Лизинггүй,Хан-Уул,4.0,120 мянгат,Ашиглалтад орсон
Зайсан толгойн зүүн талд зайсан голден вилл хотхонд 134мкв 4 өрөө,3.5,Паркет,0.0,2016.0,Байхгүй,Модон вакум,10.0,Бүргэд,134.32,6.0,Банкны лизингтэй,Хан-Уул,5.0,Зайсан,Ашиглалтад орсон
Оффицерт 45 мкв 1 өрөө орон сууц,105.0,Паркет,1.0,2016.0,Байхгүй,Вакум,5.0,Бүргэд,45.0,2.0,Банкны лизингтэй,Баянзүрх,2.0,Офицер,Ашиглалтад орсон
Бзд 13-р хороололд гал тогоо тусдаа 2өрөө байр,167.0,Паркет,1.0,2009.0,Байхгүй,Вакум,5.0,Бүргэд,58.5,12.0,Лизинггүй,Баянзүрх,4.0,13-р хороолол,Ашиглалтад орсон
"Бзд, сайд нарын ii эмнэлгийн баруун талд 2 өрөө байр",215.0,Паркет,1.0,2012.0,Байхгүй,Вакум,10.0,Бүргэд,56.11,5.0,Лизинггүй,Баянзүрх,2.0,13-р хороолол,Ашиглалтад орсон
Бзд өрнөх хороололд 2 өрөө,148.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,55.7,13.0,Лизинггүй,Баянзүрх,3.0,Офицер,Ашиглалтад орсон
Цагаан хуаран хотхон 2 өрөө,135.0,Паркет,1.0,2015.0,Байхгүй,Вакум,12.0,Бүргэд,50.3,12.0,Лизинггүй,Баянзүрх,2.0,Зүүн 4 зам,Ашиглалтад орсон
Жижиг мкв-тай 3 өрөө,146.0,Паркет,1.0,2023.0,Байхгүй,Вакум,12.0,Бүргэд,57.0,10.0,Лизинггүй,Баянзүрх,3.0,16-р хороолол,Ашиглалтад орсон
2 өрөө 41.03м2 орон сууц,115.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Төмөр,41.03,10.0,Лизинггүй,Сонгино Хайрхан,2.0,21-р хороолол,Ашиглалтад ороогүй
Гэмтлийн эмнэлгийн зүүн талд 2 өрөө,3.5,Ламинат,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,53.0,15.0,Лизинггүй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад орсон
Гал тогоо тусдаа 2 өрөө,155.0,Паркет,1.0,1990.0,Байхгүй,Вакум,9.0,Бүргэд,30.0,3.0,Лизинггүй,Сүхбаатар,3.0,11-р хороолол,Ашиглалтад орсон
Зайсан энхжин хотхонд 4өрөө орон сууц,382.0,Паркет,1.0,2015.0,Байхгүй,Вакум,9.0,Бүргэд,153.0,7.0,Банкны лизингтэй,Хан-Уул,5.0,Бусад,Ашиглалтад орсон
Зайсанд байрлалтай гантиг вилла хотхонд 3 өрөө байр,500.0,Паркет,1.0,2023.0,Байхгүй,Вакум,7.0,Бүргэд,112.0,6.0,Хувь лизингтэй,Хан-Уул,4.0,Zaisan luxury village,Ашиглалтад ороогүй
Зайсан соёмботой уул алтанбогд хотхонд 4 өрөө байр,310.0,Паркет,1.0,2022.0,Байхгүй,Вакум,10.0,Бүргэд,91.0,7.0,Банкны лизингтэй,Хан-Уул,4.0,Зайсан,Ашиглалтад орсон
Japan town-д 140м мкв 4өрөө,6.0,Паркет,2.0,2015.0,Байхгүй,Вакум,7.0,Бүргэд,140.0,2.0,Банкны лизингтэй,Хан-Уул,5.0,Japan town,Ашиглалтад орсон
Happy residence хотхонд 2-3 өрөө байр,4.0,Паркет,1.0,2022.0,Байгаа,Вакум,12.0,Төмөр,79.0,3.0,Банкны лизингтэй,Хан-Уул,3.0,Яармаг,Ашиглалтад ороогүй
Дөлгөөн нуурт 49мкв шинэ 2 өрөө,155.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Төмөр,49.0,10.0,Лизинггүй,Сүхбаатар,3.0,Дөлгөөн нуур,Ашиглалтад орсон
Яармаг khan villa 2 өрөө,135.0,Паркет,1.0,2023.0,Байгаа,Вакум,16.0,Бүргэд,52.87,12.0,Лизинггүй,Хан-Уул,2.0,Яармаг,Ашиглалтад ороогүй
Gerlug vista-д 3 өрөө орон сууц,405.76,Паркет,1.0,2023.0,Байхгүй,Вакум,23.0,Бүргэд,78.03,2.0,Банкны лизингтэй,Хан-Уул,4.0,Бусад,Ашиглалтад орсон
Өгөөмөр хотхонд 55.86мкв 3 өрөө байр,165.5,Паркет,1.0,2022.0,Байхгүй,Вакум,12.0,Бүргэд,55.86,12.0,Лизинггүй,Баянзүрх,4.0,Бусад,Ашиглалтад орсон
"Бзд скай таун 55,9мкв 2 өрөө",138.0,Паркет,1.0,2012.0,Байхгүй,Вакум,10.0,Бүргэд,55.0,4.0,Лизинггүй,Баянзүрх,2.0,14-р хороолол,Ашиглалтад орсон
2 өрөө,110.0,Паркет,1.0,1980.0,Байхгүй,Вакум,5.0,Бүргэд,30.0,3.0,Лизинггүй,Баянзүрх,4.0,16-р хороолол,Ашиглалтад орсон
"Бзд, номинтой байранд 2 өрөө байр",138.0,Паркет,1.0,2014.0,Байхгүй,Вакум,10.0,Бүргэд,56.0,4.0,Лизинггүй,Баянзүрх,3.0,Бусад,Ашиглалтад орсон
"Бзд, гарден 16 2 өрөө 46m2",120.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Төмөр вакум,44.77,3.0,Лизинггүй,Баянзүрх,2.0,Офицер,Ашиглалтад орсон
Australian east view mini apartment-д 2 өрөө орон сууц,149.29,Паркет,1.0,2023.0,Байгаа,Вакум,5.0,Бүргэд,51.48,3.0,Банкны лизингтэй,Баянзүрх,2.0,Офицер,Ашиглалтад орсон
Бзд 13 хороололд 1 өрөө 35.1mk,95.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,35.0,12.0,Лизинггүй,Баянзүрх,3.0,13-р хороолол,Ашиглалтад орсон
"Цайз захын баруун sky residence 2e block, 60мкв2 өрөө байр",139.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Төмөр вакум,59.4,9.0,Лизинггүй,Баянзүрх,4.0,16-р хороолол,Ашиглалтад ороогүй
Хороололд 3 өрөө байр 52.8m2,130.0,Паркет,1.0,2012.0,Байхгүй,Вакум,12.0,Бүргэд,52.8,4.0,Лизинггүй,Баянгол,4.0,"3, 4 хороолол",Ашиглалтад орсон
"Драгонд 2 өрөө орон сууц 42,2м2",125.0,Паркет,1.0,2017.0,Байхгүй,Вакум,12.0,Бүргэд,42.2,3.0,Банкны лизингтэй,Сонгино Хайрхан,2.0,Бусад,Ашиглалтад орсон
Энхтайваны гүүр_ 𝐊𝐇-𝐀𝐩𝐚𝐫𝐭𝐦𝐞𝐧𝐭 183мкв 4 өрөө орон сууц,732.0,Паркет,2.0,2013.0,Байхгүй,Вакум,15.0,Бүргэд,183.0,15.0,Банкны лизингтэй,Хан-Уул,6.0,Бусад,Ашиглалтад орсон
2 өрөө байр,4.6,Паркет,1.0,2022.0,Байгаа,Вакум,23.0,Бүргэд,47.0,22.0,Хувь лизингтэй,Баянзүрх,2.0,Бусад,Ашиглалтад ороогүй
Бзд кино үйлдвэр dream apartment 3 өрөө 68м2 нарлуу харсан,3.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,68.0,8.0,Лизинггүй,Баянзүрх,3.0,Офицер,Ашиглалтад ороогүй
Баянзүрх дүүрэгт 2 өрөө байр зарнс,2.2,Паркет,1.0,2023.0,Байхгүй,Вакум,9.0,Бүргэд,48.07,6.0,Лизинггүй,Баянзүрх,2.0,Чулуун овоо,Ашиглалтад ороогүй
3 өрөө,2.8,Паркет,2.0,2023.0,Байхгүй,Вакум,16.0,Төмөр,93.92,10.0,Лизинггүй,Хан-Уул,4.0,Яармаг,Ашиглалтад орсон
11р хороололд гал тогоо тусдаа 2 өрөө,152.0,Паркет,1.0,1999.0,Байхгүй,Вакум,6.0,Бүргэд,52.0,2.0,Лизинггүй,Сүхбаатар,3.0,11-р хороолол,Ашиглалтад орсон
Бзд-ийн натур худалдааны төвийн хажууд 3 өрөө байрыг грашийн хамт,2.5,Паркет,2.0,2014.0,Байгаа,Вакум,9.0,Бүргэд,110.0,9.0,Лизинггүй,Баянзүрх,4.0,Бусад,Ашиглалтад орсон
Цэцэрлэгт хүрээлэнгийн ард sunrise town хотхонд 95мкв 3 өрөө орон сууц худалдана,337.25,Паркет,1.0,2012.0,Байхгүй,Вакум,16.0,Бүргэд,95.0,2.0,Лизинггүй,Баянзүрх,3.0,Sunrise,Ашиглалтад орсон
Sunrise town-д 95м 3өрөө,3.55,Паркет,1.0,2018.0,Байхгүй,Вакум,16.0,Бүргэд,95.0,2.0,Лизинггүй,Баянзүрх,4.0,Sunrise,Ашиглалтад орсон
Гэмтлийн эмнэлгийн зүүн талд шинэ 3 өрөө байр,3.5,Ламинат,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,64.0,2.0,Лизинггүй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад орсон
"Алтай хотхоны баруун урд, гэрэлт өргөө хотхонд 2 өрөө байр",130.0,Паркет,1.0,2018.0,Байхгүй,Вакум,13.0,Бүргэд,45.7,11.0,Лизинггүй,Хан-Уул,2.0,Алтай хотхон,Ашиглалтад орсон
Гэмтлийн эмнэлгийн зүүн талд 2 өрөө байр,3.5,Ламинат,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,44.0,16.0,Лизинггүй,Баянгол,2.0,"3, 4 хороолол",Ашиглалтад орсон
Koyo town коёо таунд 63.05мкв 3 өрөө,2.9,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,63.05,3.0,Лизинггүй,Баянгол,3.0,Алтай хотхон,Ашиглалтад орсон
Australian east view mini apartment-д 3 өрөө орон сууц,182.75,Паркет,1.0,2023.0,Байгаа,Вакум,5.0,Бүргэд,63.02,4.0,Банкны лизингтэй,Баянзүрх,3.0,Офицер,Ашиглалтад орсон
Худ 19-р хороололд гал тогоо тусдаа 3 өрөө,177.0,Паркет,0.0,1989.0,Байхгүй,Вакум,5.0,Бүргэд,40.0,1.0,Банкны лизингтэй,Хан-Уул,4.0,19-р хороолол,Ашиглалтад орсон
"Зайсанд 3 өрөө 69,75мкв",210.0,Паркет,1.0,2011.0,Байхгүй,Вакум,12.0,Бүргэд,70.0,11.0,Лизинггүй,Хан-Уул,3.0,Зайсан,Ашиглалтад орсон
Худ river villa dublex 4 өрөө 145m2,464.0,Паркет,1.0,2022.0,Байхгүй,Вакум,17.0,Төмөр,145.0,16.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад орсон
"Зайсанд цэвэр агаарт gerege villa хотхонд гаражтай, тавилгатай 4 өрөө",441.0,Паркет,1.0,2020.0,Байгаа,Вакум,6.0,Төмөр,98.0,4.0,Лизинггүй,Хан-Уул,4.0,Зайсан,Ашиглалтад орсон
Яармаг хангарьд сити-2 2 өрөө 55.12м2 байр,153.0,Паркет,1.0,2021.0,Байхгүй,Вакум,10.0,Бүргэд,55.12,4.0,Банкны лизингтэй,Хан-Уул,2.0,Яармаг,Ашиглалтад орсон
Цагаан хуаран хотхонд 53 мкв 3 өрөө байр,2.7,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,53.0,4.0,Лизинггүй,Баянзүрх,3.0,13-р хороолол,Ашиглалтад орсон
Vega city хотхонд 4 өрөө орон сууц,6.8,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,96.8,16.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад ороогүй
"Хархорингийн зүүн талд эрин хороололд 2 өрөө 53,5м2",155.0,Паркет,1.0,2017.0,Байхгүй,Вакум,5.0,Бүргэд,53.5,11.0,Лизинггүй,Баянгол,3.0,1-р хороолол,Ашиглалтад орсон
"4 өрөө байр, 1-р хороолол, гал тогоо тусдаа",170.0,Паркет,2.0,1990.0,Байхгүй,Вакум,9.0,Бүргэд,90.0,7.0,Лизинггүй,Сонгино Хайрхан,5.0,1-р хороолол,Ашиглалтад орсон
11 хороололд 3 өрөө,230.0,Паркет,1.0,2007.0,Байгаа,Вакум,5.0,Бүргэд,72.3,5.0,Лизинггүй,Сүхбаатар,4.0,Бусад,Ашиглалтад орсон
Кино үйлдвэрт 2 өрөө,130.0,Паркет,1.0,2017.0,Байхгүй,Вакум,16.0,Бүргэд,45.2,14.0,Лизинггүй,Баянзүрх,2.0,Зүүн 4 зам,Ашиглалтад орсон
Алтай хотхон 4-р ээлжинд 2 өрөө,3.35,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,54.62,15.0,Лизинггүй,Баянгол,2.0,Алтай хотхон,Ашиглалтад орсон
Дөлгөөн нуурт 2 өрөө,150.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Төмөр,48.0,2.0,Лизинггүй,Сүхбаатар,3.0,Дөлгөөн нуур,Ашиглалтад ороогүй
"Бөхийн өргөөний урд, 2 өрөө",3.1,Паркет,1.0,2015.0,Байхгүй,Вакум,10.0,Бүргэд,72.5,10.0,Лизинггүй,Баянзүрх,4.0,13-р хороолол,Ашиглалтад орсон
Уб сувилалаас урагш 3 өрөө,255.0,Паркет,1.0,2018.0,Байхгүй,Вакум,5.0,Бүргэд,81.0,2.0,Лизинггүй,Хан-Уул,4.0,UB Town,Ашиглалтад орсон
Мишээл хотхонд 1өрөө,105.0,Ламинат,1.0,2022.0,Байхгүй,Вакум,16.0,Төмөр,30.0,10.0,Лизинггүй,Хан-Уул,1.0,Бусад,Ашиглалтад орсон
Australian east view mini apartment-д 4 өрөө орон сууц,247.0,Паркет,1.0,2023.0,Байгаа,Вакум,5.0,Бүргэд,85.47,2.0,Банкны лизингтэй,Баянзүрх,4.0,Офицер,Ашиглалтад орсон
"Налайх, городокт 3 өрөө байр",100.0,Паркет,1.0,1980.0,Байхгүй,Вакум,5.0,Бүргэд,60.0,4.0,Лизинггүй,Налайх,4.0,Бусад,Ашиглалтад орсон
Дөлгөөн нуурт нүүж ороход бэлэн байр,110.0,Паркет,1.0,2013.0,Байхгүй,Вакум,15.0,Төмөр,37.0,8.0,Лизинггүй,Сүхбаатар,2.0,Баянбүрд,Ашиглалтад орсон
Алтай хотхонд гал тогоо тусдаа зохион байгуулалттай 3 өрөө орон сууц,222.13,Паркет,1.0,2013.0,Байгаа,Вакум,10.0,Төмөр,75.3,7.0,Лизинггүй,Баянгол,3.0,Алтай хотхон,Ашиглалтад орсон
Яармаг хүннү моллын хажууд ханбогд хотхонд 2 өрөө,130.0,Паркет,1.0,2017.0,Байхгүй,Вакум,13.0,Төмөр,55.0,10.0,Банкны лизингтэй,Хан-Уул,2.0,Бусад,Ашиглалтад орсон
Нарны хороололд 1 өрөө байр,160.0,Паркет,1.0,2013.0,Байхгүй,Вакум,12.0,Төмөр вакум,39.55,12.0,Лизинггүй,Баянгол,1.0,Нарны хороолол,Ашиглалтад орсон
100 айл баян соёмбо хотхонд 2 өрөө байр,152.0,Паркет,1.0,2016.0,Байхгүй,Вакум,12.0,Бүргэд,57.04,8.0,Лизинггүй,Сүхбаатар,3.0,100 айл,
Яармаг шинэ өргөө хотхонд 61.80мкв 2 өрөө орон сууц,154.5,Паркет,1.0,2015.0,Байхгүй,Вакум,5.0,Бүргэд,61.8,3.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
Энхтайван хотхонд 3 өрөө орон сууц,385.0,Паркет,1.0,2019.0,Байхгүй,Вакум,17.0,Бүргэд,69.93,14.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад орсон
Төмөр зам гал тогоо тусдаа 3 өрөө орон сууц,180.0,Паркет,1.0,1990.0,Байхгүй,Вакум,6.0,Бүргэд,39.0,5.0,Лизинггүй,Баянгол,4.0,Бусад,Ашиглалтад орсон
"Худ, 19-р хороолол нэхмэл хотхонд 3 өрөө",388.0,Паркет,1.0,2020.0,Байхгүй,Вакум,16.0,Бүргэд,90.18,14.0,Лизинггүй,Хан-Уул,4.0,19-р хороолол,Ашиглалтад орсон
One residence хотхонд 123мкв 3өрөө байр,739.92,Паркет,2.0,2013.0,Байгаа,Вакум,9.0,Бүргэд,123.0,7.0,Лизинггүй,Сүхбаатар,4.0,Бусад,Ашиглалтад орсон
цэлмэг хотхон 4 өрөө,260.0,Паркет,2.0,2011.0,Байхгүй,Вакум,7.0,Бүргэд,116.0,3.0,Лизинггүй,Хан-Уул,5.0,Цэлмэг хотхон,Ашиглалтад орсон
Нарны хороололд 3 өрөө орон сууц,360.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,105.81,4.0,Лизинггүй,Баянгол,5.0,Нарны хороолол,Ашиглалтад орсон
13ын 3 өндөрт хуучнаар 4 өрөө байр,250.0,Паркет,1.0,1991.0,Байхгүй,Вакум,9.0,Бүргэд,86.4,6.0,Лизинггүй,Баянзүрх,4.0,13-р хороолол,Ашиглалтад орсон
Artsat2 6block 56.15mk 2 uruu bair 3dawhart zvvn tiishee harsan,140.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Мод,56.16,3.0,Лизинггүй,Хан-Уул,2.0,Яармаг,Ашиглалтад орсон
Сбд бага тойрог 70м2 шинэ 2 өрөө,350.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,70.0,9.0,Лизинггүй,Сүхбаатар,3.0,Бага тойрог,Ашиглалтад орсон
Баянзүрх 26-р хороо олимп хотхонд 3 өрөө,264.0,Паркет,1.0,2020.0,Байхгүй,Вакум,15.0,Бүргэд,71.5,15.0,Лизинггүй,Баянзүрх,5.0,Олимп хотхон,Ашиглалтад орсон
19-р хороололд 67м2 3 өрөө,3.8,Паркет,1.0,2016.0,Байхгүй,Вакум,10.0,Бүргэд,67.0,6.0,Банкны лизингтэй,Хан-Уул,4.0,19-р хороолол,Ашиглалтад орсон
Hunnu 2222 horoolol 117mk 4 oroo,5.0,Паркет,2.0,2023.0,Байхгүй,Вакум,25.0,Бүргэд,117.67,16.0,Лизинггүй,Хан-Уул,5.0,Хүннү,Ашиглалтад ороогүй
Хурд рапид хороололд 5 өрөө,2.5,Паркет,2.0,2017.0,Байгаа,Вакум,9.0,Төмөр,147.0,5.0,Лизинггүй,Хан-Уул,6.0,Бусад,Ашиглалтад орсон
Шангрилагийн зүүн талд 166м2 5өрөө дуплекс байр,580.0,Паркет,1.0,2006.0,Байхгүй,Вакум,6.0,Төмөр,166.0,5.0,Лизинггүй,Сүхбаатар,8.0,Бусад,Ашиглалтад орсон
Хүннү 2222 хороолол.4сард ашиглалтад орох 96мк 4 өрөө байр,5.0,Паркет,2.0,2023.0,Байхгүй,Вакум,25.0,Бүргэд,95.71,16.0,Лизинггүй,Хан-Уул,5.0,Хүннү,Ашиглалтад ороогүй
Kh apartment 2 өрөө байр,226.2,Паркет,1.0,2013.0,Байгаа,Вакум,16.0,Бүргэд,58.01,2.0,Лизинггүй,Хан-Уул,2.0,Бусад,Ашиглалтад орсон
Алтай хотхон 2р ээлжинд 2 өрөө байр,143.47,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,46.28,16.0,Лизинггүй,Баянгол,2.0,Алтай хотхон,Ашиглалтад орсон
Хороололд дүүхээ төвийн хажууд 2 өрөө байр,143.0,Паркет,1.0,1985.0,Байхгүй,Вакум,9.0,Бүргэд,55.0,9.0,Лизинггүй,Баянгол,4.0,"3, 4 хороолол",Ашиглалтад орсон
16-р хороололд 2 өрөө,104.0,Паркет,1.0,2000.0,Байхгүй,Вакум,5.0,Бүргэд,29.0,3.0,Хувь лизингтэй,Баянзүрх,3.0,16-р хороолол,Ашиглалтад орсон
Цайз 16-р хороололд 1өрөө байр 25м2,80.0,Паркет,1.0,2018.0,Байхгүй,Вакум,15.0,Бүргэд,25.0,15.0,Лизинггүй,Баянзүрх,1.0,16-р хороолол,Ашиглалтад орсон
Gerlug vista 1-р ээлжинд байр,325.0,Паркет,0.0,2023.0,Байхгүй,Вакум,23.0,Бүргэд,59.0,3.0,Лизинггүй,Хан-Уул,3.0,Нархан хотхон,Ашиглалтад орсон
Хотын төвд 1 өрөө байр 18м2,122.0,Мод,0.0,1980.0,Байхгүй,Мод,5.0,Бүргэд,18.0,1.0,Лизинггүй,Чингэлтэй,1.0,"40, 50 мянгат",Ашиглалтад орсон
"3,4-р хороололд байр",98.0,Паркет,1.0,1989.0,Байхгүй,Мод,9.0,Бүргэд,18.0,7.0,Лизинггүй,Баянгол,2.0,"3, 4 хороолол",Ашиглалтад орсон
Худ green terra хотхонд 3 өрөө,250.0,Паркет,1.0,2015.0,Байгаа,Вакум,6.0,Төмөр,94.0,5.0,Банкны лизингтэй,Хан-Уул,3.0,Зайсан,Ашиглалтад орсон
Орчлон сургуулийн хойно khans vill хотхонд 86.7м2,315.0,Паркет,1.0,2012.0,Байгаа,Вакум,12.0,Төмөр,85.0,3.0,Банкны лизингтэй,Хан-Уул,5.0,Хансвилл хотхон,Ашиглалтад орсон
"Яармагт garden city хотхонд 95,82 мкв 4 өрөө",407.28,Паркет,1.0,2022.0,Байгаа,Вакум,16.0,Бүргэд,95.0,7.0,Лизинггүй,Хан-Уул,4.0,Яармаг,Ашиглалтад орсон
Яармаг garden city 2т 4 өрөө орон сууц,4.3,Паркет,2.0,2021.0,Байгаа,Вакум,17.0,Бүргэд,138.0,14.0,Лизинггүй,Хан-Уул,5.0,Яармаг,Ашиглалтад орсон
Худ shambha la цэцэрлэгт хотхонд 153мкв дуплекс 3 өрөө,1.2,Паркет,1.0,2020.0,Байгаа,Вакум,4.0,Бүргэд,147.0,3.0,Лизинггүй,Хан-Уул,4.0,Зайсан,Ашиглалтад орсон
2 өрөө байр 42.44мкв,1.79,Паркет,1.0,2023.0,Байгаа,Вакум,12.0,Бүргэд,42.44,8.0,Хувь лизингтэй,Баянзүрх,2.0,10-р хороолол,Ашиглалтад ороогүй
Яармаг ханбогд хотхонд 2 өрөө 55мкв,150.0,Паркет,1.0,2018.0,Байхгүй,Вакум,9.0,Бүргэд,55.0,8.0,Лизинггүй,Хан-Уул,2.0,Viva city,Ашиглалтад орсон
Арцат2-т ашиглатанд орсон 3 өрөө байр 75м2,195.0,Паркет,1.0,2022.0,Байгаа,Вакум,12.0,Бүргэд,75.0,3.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
Яармагт бритиш сургуулийн хажууд twin tower villa-д 154 мкв 4 өрөө,639.1,Паркет,2.0,2007.0,Байхгүй,Вакум,16.0,Бүргэд,154.0,10.0,Лизинггүй,Хан-Уул,6.0,Яармаг,Ашиглалтад орсон
Elizabeth хотхон 3 өрөө,315.13,Паркет,1.0,2019.0,Байхгүй,Вакум,16.0,Төмөр,85.17,15.0,Лизинггүй,Баянзүрх,4.0,Бусад,Ашиглалтад орсон
Нисэх сөүл гарден 59м2 - 2 өрөө 6 хувь шийднэ,191.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Төмөр,59.0,7.0,Банкны лизингтэй,Хан-Уул,2.0,Нисэх,Ашиглалтад орсон
"Global town шинэ 65,61 мкв 2 өрөө",318.21,Паркет,1.0,2022.0,Байхгүй,Вакум,22.0,Бүргэд,65.61,3.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад орсон
Элизабет хотхонд 58 мкв 3 өрөө орон сууц,3.4,Паркет,2.0,2019.0,Байгаа,Вакум,15.0,Бүргэд,58.32,10.0,Лизинггүй,Баянзүрх,3.0,Баянмонгол хороолол,Ашиглалтад орсон
есөн эрдэнэ хотхонд 2 өрөө байр,240.0,Паркет,1.0,2022.0,Байхгүй,Вакум,12.0,Бүргэд,65.97,7.0,Банкны лизингтэй,Баянгол,2.0,Нарны хороолол,Ашиглалтад орсон
Гэмтэлд 1 өрөө 32м2,86.26,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Төмөр,32.55,14.0,Лизинггүй,Баянгол,2.0,"3, 4 хороолол",Ашиглалтад ороогүй
Зайсанд 68.2 мкв 3 өрөө байр,180.0,Паркет,0.0,2015.0,Байхгүй,Вакум,8.0,Бүргэд,68.2,2.0,Банкны лизингтэй,Хан-Уул,3.0,Зайсан,Ашиглалтад орсон
Хурд рапид хотхонд засвар хийсэн 1 өрөө байр,126.0,Паркет,1.0,2014.0,Байхгүй,Вакум,9.0,Бүргэд,30.2,7.0,Лизинггүй,Хан-Уул,2.0,120 мянгат,Ашиглалтад орсон
Bzd ofitser amgalan hothon,120.0,Паркет,1.0,2016.0,Байхгүй,Вакум,12.0,Бүргэд,43.35,6.0,Лизинггүй,Баянзүрх,3.0,Офицер,Ашиглалтад орсон
Хотын аа-бүсэд сбд хангай хотхонд 40 мк 2 өрөө байр,110.0,Паркет,1.0,2017.0,Байхгүй,Вакум,12.0,Бүргэд,40.0,4.0,Банкны лизингтэй,Сүхбаатар,2.0,Бусад,Ашиглалтад орсон
"Яармагт арцатын ам, sunset house-д шинэ 2 өрөө худалдана",154.0,Паркет,1.0,2022.0,Байхгүй,Вакум,5.0,Төмөр вакум,51.06,2.0,Банкны лизингтэй,Хан-Уул,2.0,Яармаг,Ашиглалтад орсон
"Бзд, офицерт төгөл хус хотхонд 145 мкв 6өрөө",394.2,Паркет,2.0,2001.0,Байхгүй,Вакум,3.0,Төмөр,146.0,2.0,Лизинггүй,Баянзүрх,8.0,Офицер,Ашиглалтад орсон
Нисхэд угсармалд 3 өрөө орон сууц,110.0,Паркет,1.0,2000.0,Байхгүй,Вакум,5.0,Бүргэд,72.0,5.0,Лизинггүй,Хан-Уул,4.0,Нисэх,Ашиглалтад орсон
